Task ID,Occupation,Task,User ID,Age,Self-reported Expertise,Automation Desire Rating,Core Skill Rating,Job Security Rating,Enjoyment Rating,Income_Cleaned,LLM_Familiarity_Cleaned,LLM_Familiarity_Dummy,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Generation
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Novice,4,3,3,4,45000.0,3.0,0.0,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",4,3,1,4,4,Millennials
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",86c9b5e5-96af-49e1-9b63-5f15b2ee193c,50,Average,4,1,3,2,125500.0,4.0,1.0,64990.0,697210.0,"['Getting Information', 'Working with Computers', 'Communicating with Supervisors, Peers, or Subordinates']",2,3,3,3,3,Gen X+
1292,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",86c9b5e5-96af-49e1-9b63-5f15b2ee193c,50,Expert,1,4,1,4,125500.0,4.0,1.0,64990.0,697210.0,"['Judging the Qualities of Objects, Services, or People', 'Providing Consultation and Advice to Others']",2,5,4,4,5,Gen X+
20950,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Average,3,2,2,3,125500.0,4.0,1.0,111960.0,497800.0,['Working with Computers'],1,1,2,3,2,Gen X+
3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Expert,3,3,4,4,125500.0,4.0,1.0,111960.0,497800.0,['Analyzing Data or Information'],3,2,2,3,1,Gen X+
3474,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Expert,2,3,4,3,125500.0,4.0,1.0,111960.0,497800.0,"['Analyzing Data or Information', 'Thinking Creatively']",3,3,2,3,2,Gen X+
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",081284e9-a7c3-4526-8b29-6fac21e7dc74,42,Expert,2,4,3,3,125500.0,3.0,0.0,64990.0,697210.0,"['Getting Information', 'Working with Computers', 'Communicating with Supervisors, Peers, or Subordinates']",4,3,3,3,3,Millennials
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",081284e9-a7c3-4526-8b29-6fac21e7dc74,42,Expert,5,3,1,1,125500.0,3.0,0.0,64990.0,697210.0,['Documenting/Recording Information'],1,1,1,2,2,Millennials
1277,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,18,Novice,1,1,1,1,125500.0,3.0,0.0,103640.0,109870.0,"['Inspecting Equipment, Structures, or Materials']",1,1,1,1,1,Gen Z
1274,Computer Programmers,Write or contribute to instructions or manuals to guide end users.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,18,Novice,1,1,1,1,125500.0,3.0,0.0,103640.0,109870.0,['Documenting/Recording Information'],1,1,1,1,1,Gen Z
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",7f35d4fc-0ca5-43db-afdf-939a1d921f8f,18,Novice,1,1,1,1,125500.0,3.0,0.0,103640.0,109870.0,"['Inspecting Equipment, Structures, or Materials']",1,1,1,1,1,Gen Z
21049,Computer Programmers,Develop Web sites.,7f35d4fc-0ca5-43db-afdf-939a1d921f8f,18,Novice,1,1,1,1,125500.0,3.0,0.0,103640.0,109870.0,['Thinking Creatively'],1,1,1,1,1,Gen Z
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,a6afe946-8c94-4aaf-95b3-5491db630053,39,Expert,1,4,5,4,45000.0,3.0,0.0,64990.0,697210.0,['Providing Consultation and Advice to Others'],1,2,2,5,2,Millennials
14642,Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Expert,5,5,3,2,45000.0,4.0,1.0,110260.0,199800.0,"['Analyzing Data or Information', 'Working with Computers', 'Documenting/Recording Information']",1,2,2,3,3,Millennials
14638,Software Quality Assurance Analysts and Testers,"Design test plans, scenarios, scripts, or procedures.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Expert,4,3,3,3,45000.0,4.0,1.0,110260.0,199800.0,['Developing Objectives and Strategies'],1,3,1,3,3,Millennials
14652,Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Expert,5,5,3,3,45000.0,4.0,1.0,110260.0,199800.0,['Working with Computers'],1,3,2,5,4,Millennials
14643,Software Quality Assurance Analysts and Testers,Monitor bug resolution efforts and track successes.,b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Average,5,3,2,2,45000.0,4.0,1.0,110260.0,199800.0,"['Monitoring Processes, Materials, or Surroundings', 'Documenting/Recording Information']",1,3,3,4,2,Millennials
14655,Software Quality Assurance Analysts and Testers,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Average,5,2,1,1,45000.0,4.0,1.0,110260.0,199800.0,"['Inspecting Equipment, Structures, or Materials']",1,2,1,3,2,Millennials
3465,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Novice,1,3,2,3,125500.0,4.0,1.0,111960.0,497800.0,"['Monitoring Processes, Materials, or Surroundings', 'Inspecting Equipment, Structures, or Materials', 'Guiding, Directing, and Motivating Subordinates']",2,2,3,2,2,Gen X+
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Average,3,2,4,3,125500.0,4.0,1.0,111960.0,497800.0,['Working with Computers'],2,2,3,3,2,Gen X+
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Expert,4,3,1,1,125500.0,4.0,1.0,111960.0,497800.0,['Getting Information'],4,1,4,1,2,Gen X+
3484,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,63,Average,2,1,1,2,125500.0,4.0,1.0,111960.0,497800.0,"['Making Decisions and Solving Problems', 'Thinking Creatively']",2,3,2,2,2,Gen X+
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,081284e9-a7c3-4526-8b29-6fac21e7dc74,42,Expert,3,5,4,2,125500.0,3.0,0.0,64990.0,697210.0,['Providing Consultation and Advice to Others'],3,4,4,4,3,Millennials
1292,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",081284e9-a7c3-4526-8b29-6fac21e7dc74,42,Average,2,3,1,3,125500.0,3.0,0.0,64990.0,697210.0,"['Judging the Qualities of Objects, Services, or People', 'Providing Consultation and Advice to Others']",4,1,5,4,5,Millennials
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,150f350e-279a-4cb9-8742-f67b5aa703ae,52,Expert,2,4,4,4,45000.0,4.0,1.0,64990.0,697210.0,"['Monitoring Processes, Materials, or Surroundings']",2,1,3,4,3,Gen X+
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",150f350e-279a-4cb9-8742-f67b5aa703ae,52,Expert,4,3,2,1,45000.0,4.0,1.0,64990.0,697210.0,['Documenting/Recording Information'],1,3,2,4,3,Gen X+
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",a6afe946-8c94-4aaf-95b3-5491db630053,39,Expert,3,3,3,2,45000.0,3.0,0.0,64990.0,697210.0,"['Getting Information', 'Working with Computers', 'Communicating with Supervisors, Peers, or Subordinates']",1,2,1,4,1,Millennials
14641,Software Quality Assurance Analysts and Testers,"Document software defects, using a bug tracking system, and report defects to software developers.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Average,4,2,1,2,45000.0,4.0,1.0,110260.0,199800.0,"['Processing Information', 'Communicating with Supervisors, Peers, or Subordinates']",1,3,1,2,2,Millennials
14653,Software Quality Assurance Analysts and Testers,Provide feedback and recommendations to developers on software usability and functionality.,b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Expert,4,3,3,2,45000.0,4.0,1.0,110260.0,199800.0,['Providing Consultation and Advice to Others'],1,3,2,4,3,Millennials
14639,Software Quality Assurance Analysts and Testers,Test system modifications to prepare for implementation.,b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Average,4,3,3,2,45000.0,4.0,1.0,110260.0,199800.0,"['Inspecting Equipment, Structures, or Materials']",1,3,2,4,3,Millennials
14654,Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Average,5,2,1,2,45000.0,4.0,1.0,110260.0,199800.0,"['Monitoring Processes, Materials, or Surroundings']",1,3,2,3,2,Millennials
14658,Software Quality Assurance Analysts and Testers,"Identify program deviance from standards, and suggest modifications to ensure compliance.",b64ed918-a8ae-4a8c-b3a0-725f48f81e74,28,Expert,4,3,3,2,45000.0,4.0,1.0,110260.0,199800.0,"['Inspecting Equipment, Structures, or Materials', 'Providing Consultation and Advice to Others']",1,2,2,4,2,Millennials
21049,Computer Programmers,Develop Web sites.,dcdc99e1-d187-4ff4-b100-f05a0a8701fa,23,Novice,5,1,1,3,45000.0,4.0,1.0,103640.0,109870.0,['Thinking Creatively'],1,3,1,1,4,Gen Z
14707,Web Developers,Write supporting code for Web applications or Web sites.,cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,1,4,3,4,,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",1,4,2,3,3,Gen Z
14694,Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,2,4,3,3,,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",1,4,3,4,4,Gen Z
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,3,4,3,3,,4.0,1.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",1,3,3,5,2,Gen Z
14710,Web Developers,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,4,3,1,1,,4.0,1.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",1,3,2,2,2,Gen Z
14695,Web Developers,Perform or direct Web site updates.,cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,2,3,3,2,,4.0,1.0,98790.0,78860.0,['Working with Computers'],1,3,2,3,2,Gen Z
14713,Web Developers,"Respond to user email inquiries, or set up automated systems to send responses.",cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,4,2,1,1,,4.0,1.0,98790.0,78860.0,['Communicating with People Outside the Organization'],1,4,2,2,2,Gen Z
14719,Web Developers,Recommend and implement performance improvements.,cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Novice,3,3,1,1,,4.0,1.0,98790.0,78860.0,['Providing Consultation and Advice to Others'],1,1,1,3,1,Gen Z
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",cfbbcb0f-6f7e-4854-b021-1209a010a93f,18,Average,4,2,1,1,,4.0,1.0,98790.0,78860.0,['Thinking Creatively'],1,1,1,2,1,Gen Z
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,44,Expert,4,1,1,1,,4.0,1.0,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",1,4,3,4,3,Gen X+
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,44,Expert,4,1,1,1,,4.0,1.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],1,1,1,4,1,Gen X+
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,44,Expert,3,1,1,1,,4.0,1.0,187990.0,645970.0,['Documenting/Recording Information'],1,1,1,1,2,Gen X+
14707,Web Developers,Write supporting code for Web applications or Web sites.,fb25680c-4564-41fe-bb02-142d6b3cf30c,18,Average,4,4,5,5,,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",3,3,2,2,5,Gen Z
14694,Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",fb25680c-4564-41fe-bb02-142d6b3cf30c,18,Average,2,3,4,2,,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",3,4,4,2,4,Gen Z
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",fb25680c-4564-41fe-bb02-142d6b3cf30c,18,Average,3,2,5,3,,4.0,1.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",3,3,2,5,5,Gen Z
14713,Web Developers,"Respond to user email inquiries, or set up automated systems to send responses.",fb25680c-4564-41fe-bb02-142d6b3cf30c,18,Average,2,1,1,1,,4.0,1.0,98790.0,78860.0,['Communicating with People Outside the Organization'],2,3,3,2,2,Gen Z
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",fb25680c-4564-41fe-bb02-142d6b3cf30c,18,Average,1,5,5,5,,4.0,1.0,98790.0,78860.0,['Thinking Creatively'],3,2,3,2,5,Gen Z
14707,Web Developers,Write supporting code for Web applications or Web sites.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,3,1,3,125500.0,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",1,2,4,5,2,Millennials
14694,Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,5,1,5,125500.0,4.0,1.0,98790.0,78860.0,"['Thinking Creatively', 'Working with Computers']",1,5,5,5,4,Millennials
14698,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,2,1,5,125500.0,4.0,1.0,98790.0,78860.0,['Working with Computers'],1,1,1,4,1,Millennials
14708,Web Developers,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,5,1,1,125500.0,4.0,1.0,98790.0,78860.0,"['Communicating with Supervisors, Peers, or Subordinates', 'Providing Consultation and Advice to Others']",3,5,5,5,5,Millennials
14714,Web Developers,Develop or implement procedures for ongoing Web site revision.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Average,5,2,1,1,125500.0,4.0,1.0,98790.0,78860.0,['Thinking Creatively'],1,4,4,4,4,Millennials
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",1f91aba2-1758-4885-b585-22ee2611fc39,30,Average,5,2,4,2,125500.0,4.0,1.0,98790.0,78860.0,['Thinking Creatively'],1,4,5,4,4,Millennials
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,150f350e-279a-4cb9-8742-f67b5aa703ae,52,Expert,4,4,3,3,45000.0,4.0,1.0,64990.0,697210.0,['Providing Consultation and Advice to Others'],1,4,3,4,4,Gen X+
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",150f350e-279a-4cb9-8742-f67b5aa703ae,52,Expert,3,4,2,2,45000.0,4.0,1.0,64990.0,697210.0,"['Getting Information', 'Working with Computers', 'Communicating with Supervisors, Peers, or Subordinates']",1,1,2,4,2,Gen X+
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,4,1,4,125500.0,4.0,1.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",5,5,5,5,5,Millennials
14719,Web Developers,Recommend and implement performance improvements.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Expert,5,5,1,3,125500.0,4.0,1.0,98790.0,78860.0,['Providing Consultation and Advice to Others'],1,4,4,5,4,Millennials
14723,Web Developers,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,1f91aba2-1758-4885-b585-22ee2611fc39,30,Average,4,4,4,3,125500.0,4.0,1.0,98790.0,78860.0,"['Monitoring Processes, Materials, or Surroundings', 'Communicating with Supervisors, Peers, or Subordinates']",1,3,4,4,3,Millennials
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,77912bd1-921b-40b8-9c9c-f80822a6a40a,36,Novice,5,3,2,1,73000.0,4.0,1.0,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",3,2,1,3,3,Millennials
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Average,3,1,1,1,125500.0,3.0,0.0,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",2,5,3,3,4,Millennials
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Expert,2,4,4,3,125500.0,3.0,0.0,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",1,2,2,4,2,Millennials
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Average,4,4,1,4,125500.0,3.0,0.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],1,1,1,1,1,Millennials
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Expert,1,4,3,3,125500.0,3.0,0.0,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']",3,4,2,2,4,Millennials
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Average,3,1,1,1,125500.0,3.0,0.0,187990.0,645970.0,['Documenting/Recording Information'],1,4,1,2,3,Millennials
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,34,Expert,2,4,5,4,125500.0,3.0,0.0,187990.0,645970.0,['Thinking Creatively'],1,3,4,2,3,Millennials
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",c341e4cc-eb09-476d-977b-1bd44b8ef293,33,Average,5,1,3,2,45000.0,3.0,0.0,187990.0,645970.0,['Thinking Creatively'],3,2,2,3,2,Millennials
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,c341e4cc-eb09-476d-977b-1bd44b8ef293,33,Novice,3,2,4,2,45000.0,3.0,0.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],2,1,5,2,2,Millennials
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,c341e4cc-eb09-476d-977b-1bd44b8ef293,33,Average,2,2,1,2,45000.0,3.0,0.0,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",2,5,3,2,2,Millennials
3465,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",fa785f60-af5d-4322-94ee-6cd65d98e86c,25,Average,3,1,2,4,73000.0,4.0,1.0,111960.0,497800.0,"['Monitoring Processes, Materials, or Surroundings', 'Inspecting Equipment, Structures, or Materials', 'Guiding, Directing, and Motivating Subordinates']",2,3,3,4,3,Gen Z
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",fa785f60-af5d-4322-94ee-6cd65d98e86c,25,Novice,4,1,1,3,73000.0,4.0,1.0,111960.0,497800.0,['Working with Computers'],1,1,1,3,2,Gen Z
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,af21c46a-23b2-409e-8aa7-a52ae72f4c7a,25,Average,4,3,2,2,73000.0,4.0,1.0,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",3,4,3,3,3,Gen Z
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",af21c46a-23b2-409e-8aa7-a52ae72f4c7a,25,Expert,1,4,4,3,73000.0,4.0,1.0,187990.0,645970.0,['Thinking Creatively'],3,4,4,4,3,Gen Z
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",19cb3bb9-6e61-4c6e-837e-7b054845cbc1,23,Novice,3,4,2,4,,3.0,0.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",1,4,2,3,4,Gen Z
14710,Web Developers,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",19cb3bb9-6e61-4c6e-837e-7b054845cbc1,23,Novice,3,3,1,3,,3.0,0.0,98790.0,78860.0,"['Inspecting Equipment, Structures, or Materials']",3,2,2,3,2,Gen Z
